month;CBEX_M
01.01.1993;1.10
01.02.1993;1.40
01.03.1993;3.30
01.04.1993;2.30
01.05.1993;2.50
01.06.1993;3.30
01.07.1993;5.70
01.08.1993;5.60
01.09.1993;6.60
01.10.1993;5.90
01.11.1993;8.50
01.12.1993;11.10
01.01.1994;7.20
01.02.1994;10.20
01.03.1994;11.00
01.04.1994;13.80
01.05.1994;16.80
01.06.1994;15.70
01.07.1994;19.60
01.08.1994;23.20
01.09.1994;23.60
01.10.1994;26.70
01.11.1994;26.10
01.12.1994;40.90
01.01.1995;16.80
01.02.1995;21.00
01.03.1995;30.50
01.04.1995;33.30
01.05.1995;33.30
01.06.1995;38.70
01.07.1995;36.70
01.08.1995;42.70
01.09.1995;39.20
01.10.1995;44.50
01.11.1995;63.30
01.12.1995;87.40
01.01.1996;31.20
01.02.1996;39.00
01.03.1996;53.10
01.04.1996;56.50
01.05.1996;54.50
01.06.1996;58.20
01.07.1996;53.00
01.08.1996;53.20
01.09.1996;42.70
01.10.1996;49.60
01.11.1996;55.20
01.12.1996;106.50
01.01.1997;36.50
01.02.1997;44.10
01.03.1997;61.70
01.04.1997;62.90
01.05.1997;62.00
01.06.1997;63.70
01.07.1997;62.60
01.08.1997;69.20
01.09.1997;63.10
01.10.1997;68.40
01.11.1997;67.60
01.12.1997;144.40
01.01.1998;44.80
01.02.1998;38.10
01.03.1998;61.90
01.04.1998;61.20
01.05.1998;59.90
01.06.1998;65.80
01.07.1998;59.70
01.08.1998;49.20
01.09.1998;47.70
01.10.1998;59.50
01.11.1998;74.40
01.12.1998;130.80
01.01.1999;45.60
01.02.1999;57.50
01.03.1999;85.90
01.04.1999;96.50
01.05.1999;95.30
01.06.1999;106.00
01.07.1999;101.80
01.08.1999;106.30
01.09.1999;100.90
01.10.1999;102.00
01.11.1999;118.50
01.12.1999;235.20
01.01.2000;82.90
01.02.2000;101.90
01.03.2000;145.40
01.04.2000;139.80
01.05.2000;139.50
01.06.2000;151.40
01.07.2000;134.50
01.08.2000;162.90
01.09.2000;146.50
01.10.2000;148.30
01.11.2000;183.20
01.12.2000;335.30
01.01.2001;97.90
01.02.2001;169.10
01.03.2001;178.70
01.04.2001;189.50
01.05.2001;186.80
01.06.2001;204.50
01.07.2001;192.70
01.08.2001;225.90
01.09.2001;210.60
01.10.2001;196.50
01.11.2001;206.00
01.12.2001;349.30
01.01.2002;131.60
01.02.2002;211.00
01.03.2002;244.20
01.04.2002;290.10
01.05.2002;245.30
01.06.2002;270.30
01.07.2002;281.30
01.08.2002;293.80
01.09.2002;271.90
01.10.2002;377.30
01.11.2002;314.40
01.12.2002;472.50
01.01.2003;175.80
01.02.2003;275.50
01.03.2003;318.70
01.04.2003;329.80
01.05.2003;295.90
01.06.2003;336.40
01.07.2003;331.70
01.08.2003;333.30
01.09.2003;340.70
01.10.2003;316.10
01.11.2003;329.90
01.12.2003;581.10
01.01.2004;193.10
01.02.2004;311.40
01.03.2004;385.10
01.04.2004;400.90
01.05.2004;315.40
01.06.2004;406.50
01.07.2004;377.40
01.08.2004;376.60
01.09.2004;378.90
01.10.2004;368.00
01.11.2004;406.50
01.12.2004;749.90
01.01.2005;287.90
01.02.2005;343.20
01.03.2005;429.80
01.04.2005;492.80
01.05.2005;434.10
01.06.2005;455.30
01.07.2005;495.20
01.08.2005;506.90
01.09.2005;653.00
01.10.2005;370.40
01.11.2005;463.20
01.12.2005;1009.60
01.01.2006;280.90
01.02.2006;422.00
01.03.2006;571.30
01.04.2006;569.10
01.05.2006;522.20
01.06.2006;866.90
01.07.2006;831.20
01.08.2006;674.20
