year,idind,x,y
2012,5,"9","4"
2012,21443,"15","4"
2012,3,"8","2"
2012,25025,"24","2"
2012,25032,"7","3"
2012,11295,"8","2"
2012,11307,"24","4"
2012,29,"8","3"
2012,36,"8","4"
2012,37,"10","4"
2012,16261,"8","2"
2012,16262,"8","3"
2012,24104,"12","3"
2012,47,"8","3"
2012,24107,"12","2"
2012,16259,"8","3"
2012,11305,"10","3"
2012,44510,"24","3"
2012,31343,"8","3"
2012,25040,"8","4"
2012,25041,"12","4"
2012,44512,"8","4"
2012,44513,"8","3"
2012,44514,"12","2"
2012,11325,"15","4"
2012,30124,"8","3"
2012,30125,"8","3"
2012,30126,"8","3"
2012,11329,"12","2"
2012,11326,"8","2"
2012,40570,"11","3"
2012,16268,"8","2"
2012,51,"8","2"
2012,25042,"18","3"
2012,25045,"9","4"
2012,25046,"9","3"
2012,25028,"12","4"
2012,31344,"12","3"
2012,32295,"12","4"
2012,44518,"10","4"
2012,44519,"8","3"
2012,44520,"8","2"
2012,64,"4","4"
2012,31361,"8","4"
2012,25050,"24","2"
2012,75,"9","3"
2012,77,"10","1"
2012,32305,"11","1"
2012,25066,"9","1"
2012,92,"8","2"
2012,93,"10","2"
2012,99,"24","3"
2012,108,"24","1"
2012,109,"8","2"
2012,11336,"24","1"
2012,117,"12","1"
2012,96,"8","1"
2012,17939,"10","1"
2012,98,"8","2"
2012,25051,"12","3"
2012,97,"8","4"
2012,25053,"8","2"
2012,11338,"10","2"
2012,25054,"7","3"
2012,25055,"10","1"
2012,25056,"7","3"
2012,25060,"12","2"
2012,22796,"9","2"
2012,40576,"8","2"
2012,125,"8","3"
2012,126,"5","2"
2012,127,"12","2"
2012,132,"8","2"
2012,133,"8","2"
2012,11344,"12","4"
2012,11349,"7","3"
2012,11351,"8","2"
2012,22800,"8","3"
2012,40578,"12","3"
2012,142,"12","1"
2012,145,"5","2"
2012,24114,"7","4"
2012,128,"6","2"
2012,20018,"12","2"
2012,22795,"8","1"
2012,25070,"8","3"
2012,30134,"12","2"
2012,25075,"24","2"
2012,32312,"8","1"
2012,174,"3","3"
2012,25101,"8","2"
2012,25084,"24","3"
2012,189,"24","2"
2012,25087,"24","3"
2012,25088,"24","4"
2012,180,"8","4"
2012,25092,"13","2"
2012,25095,"12","3"
2012,44524,"12","2"
2012,25100,"10","3"
2012,207,"5","1"
2012,11364,"24","1"
2012,229,"8","3"
2012,230,"10","2"
2012,25135,"13","2"
2012,25137,"10","2"
2012,25145,"8","3"
2012,25147,"8","2"
2012,25148,"8","2"
2012,22804,"8","2"
2012,22805,"24","2"
2012,22806,"8","2"
2012,16292,"9","1"
2012,239,"8","2"
2012,244,"12","3"
2012,245,"10","2"
2012,16294,"8","2"
2012,11368,"10","4"
2012,25122,"8","4"
2012,25125,"12","1"
2012,25131,"24","3"
2012,25133,"8","3"
2012,32321,"24","3"
2012,32323,"8","3"
2012,32329,"6","1"
2012,32330,"8","1"
2012,40585,"8","4"
2012,32333,"24","1"
2012,32334,"7","1"
2012,32335,"8","1"
2012,32340,"6","2"
2012,32341,"24","1"
2012,32343,"8","1"
2012,32347,"8","2"
2012,32348,"8","2"
2012,32349,"5","3"
